Date,Open,High,Low,Close,Volume
4/14/2010,66,67.42,65.77,67.1,9175666
4/15/2010,67.01,67.5,66.68,67.21,5998685
4/16/2010,66.46,67.16,64.86,65.8,11294093
4/19/2010,65.18,65.92,64.51,65.24,9762395
4/20/2010,66.4,68,66.19,67.85,11961874
4/21/2010,67.89,68.5,67.17,68.02,8688892
4/22/2010,67.26,68.41,66.78,68.18,11255220
4/23/2010,70.14,73.19,69.9,72.68,22082864
4/26/2010,72.6,73.17,72.25,72.69,10587104
4/27/2010,72.39,72.59,70,70.31,14671621
4/28/2010,70.77,71.14,69.12,71.01,10860259
4/29/2010,72.27,73.99,71.3,73.15,27991287
4/30/2010,73.33,73.8,70.53,71.42,24491942
5/3/2010,71.12,71.98,70.06,71.31,14228696
5/4/2010,69.55,70.56,68.51,68.95,14154084
5/5/2010,67.36,68.32,66.44,67.3,14303517
5/6/2010,67.12,68.11,61,65.35,18571558
5/7/2010,64.59,65.64,62.21,62.86,21513601
5/10/2010,65.52,67,65.52,66.83,19198990
5/11/2010,66.03,67.89,65.96,66.84,11655759
5/12/2010,67.31,67.65,65.61,66.65,11566278
5/13/2010,67.07,68.32,65.98,66.94,9808442
5/14/2010,66.54,66.68,64.02,64.88,12522967
5/17/2010,65.22,65.39,62.5,64.15,12538451
5/18/2010,65.11,66.15,63.45,63.74,13131894
5/19/2010,63.45,64.41,61.64,62.59,15472115
5/20/2010,60.92,61.16,58.93,59.22,19423472
5/21/2010,57.79,60.67,57.55,60.5,21535652
5/24/2010,60.13,60.54,57.55,57.6,19538164
5/25/2010,56.05,58.59,55.66,58.46,20572914
5/26/2010,59.33,60.34,58.65,58.75,17317948
5/27/2010,60.58,61.08,58.6,60.02,20612982
5/28/2010,59.48,59.81,55.46,56.15,27781910
6/1/2010,54.45,54.45,51.67,51.75,35731143
6/2/2010,53.72,56.42,53.35,56.31,26843675
6/3/2010,57.33,57.53,54.45,56.63,25274323
6/4/2010,55.7,57.95,55.17,55.74,20070385
6/7/2010,55.87,56.6,54.11,54.23,14146300
6/8/2010,54.43,55.71,53.85,55.56,16140487
6/9/2010,56.35,57.94,55.21,55.47,13576045
6/10/2010,57.79,59.35,57.35,59.17,16931358
6/11/2010,58.44,59.71,58.22,59.48,10919260
6/14/2010,60.4,60.91,58.51,58.66,11821127
6/15/2010,59.71,61.06,59.15,60.87,9340590
6/16/2010,59.79,61.65,59.79,60.81,9601927
6/17/2010,61.36,61.59,60.56,61.36,9951398
6/18/2010,61.14,61.24,59.46,60.53,16572071
6/21/2010,61.64,61.89,59.81,60.33,10320611
6/22/2010,60.33,60.56,58.19,58.26,15055455
6/23/2010,58.23,58.74,57.44,58.33,8165241
6/24/2010,58.04,58.31,56.87,57.14,7830342
6/25/2010,57.36,58.5,56.65,58.22,24144451
6/28/2010,57.85,58.29,57.07,57.34,8834315
6/29/2010,56.12,56.58,54.85,55.08,12916099
6/30/2010,55.34,56.62,55.02,55.34,13046746
7/1/2010,55.29,55.8,53.61,55.26,14512372
