playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
altuvjo01,2014,1,HOU,AL,158,660,85,225,47,3,7,59,56,9,36,53,7,5,1,5,20
cartech02,2014,1,HOU,AL,145,507,68,115,21,1,37,88,5,2,56,182,6,5,0,4,12
castrja01,2014,1,HOU,AL,126,465,43,103,21,2,14,56,1,0,34,151,1,9,1,3,11
corpoca01,2014,1,HOU,AL,55,170,22,40,6,0,6,19,0,0,14,37,0,3,1,2,3
dominma01,2014,1,HOU,AL,157,564,51,121,17,0,16,57,0,1,29,125,2,5,2,7,23
fowlede01,2014,1,HOU,AL,116,434,61,120,21,4,8,35,11,4,66,108,2,3,1,1,6
gonzama01,2014,1,HOU,AL,103,285,33,79,15,1,6,23,2,4,17,58,0,4,4,0,6
grossro01,2014,1,HOU,AL,103,360,42,84,14,2,6,37,9,3,55,105,1,2,3,2,7
guzmaje01,2014,1,HOU,AL,69,165,10,31,4,0,2,9,3,0,19,52,0,0,0,0,4
hoeslj01,2014,1,HOU,AL,55,122,12,21,5,0,3,11,0,0,10,31,0,0,1,3,5
krausma01,2014,1,HOU,AL,67,186,16,36,6,0,6,21,0,0,21,54,0,1,0,0,7
marisja01,2014,2,HOU,AL,51,173,18,47,8,0,3,19,6,3,5,48,2,3,2,3,2
preslal01,2014,1,HOU,AL,89,254,22,62,6,1,6,19,5,1,13,44,0,1,1,2,3
singljo02,2014,1,HOU,AL,95,310,42,52,13,0,13,44,2,3,50,134,1,1,0,1,4
springe01,2014,1,HOU,AL,78,295,45,68,8,1,20,51,5,2,39,114,4,9,0,2,4
villajo01,2014,1,HOU,AL,87,263,31,55,13,2,7,27,17,4,19,80,1,2,4,1,4
