playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
altuvjo01,2015,1,HOU,AL,154,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17
cartech02,2015,1,HOU,AL,129,391,50,78,17,0,24,64,1,2,57,151,1,6,0,5,5
castrja01,2015,1,HOU,AL,104,337,38,71,19,0,11,31,0,0,33,115,1,2,0,3,5
congeha01,2015,1,HOU,AL,73,201,25,46,11,0,11,33,0,1,23,63,0,2,1,2,6
correca01,2015,1,HOU,AL,99,387,52,108,22,1,22,68,14,4,40,78,2,1,0,4,10
gattiev01,2015,1,HOU,AL,153,566,66,139,20,11,27,88,0,1,30,119,3,3,0,5,13
gomezca01,2015,2,HOU,AL,41,149,19,36,9,0,4,13,10,3,8,31,1,2,3,1,1
gonzama01,2015,1,HOU,AL,120,344,44,96,18,1,12,34,4,5,16,74,0,3,7,0,9
lowrije01,2015,1,HOU,AL,69,230,35,51,14,0,9,30,1,0,28,43,5,3,0,2,3
marisja01,2015,1,HOU,AL,133,339,46,80,15,4,9,36,24,9,18,105,0,5,6,4,2
rasmuco01,2015,1,HOU,AL,137,432,67,103,23,2,25,61,2,1,47,154,0,2,1,3,6
springe01,2015,1,HOU,AL,102,388,59,107,19,2,16,41,16,4,50,109,0,8,2,3,4
tuckepr01,2015,1,HOU,AL,98,300,35,73,19,0,13,33,0,2,20,68,0,3,0,0,3
valbulu01,2015,1,HOU,AL,132,434,62,97,18,0,25,56,1,0,50,106,1,6,0,3,13
villajo01,2015,1,HOU,AL,53,116,18,33,7,1,2,11,7,2,10,29,0,0,1,1,3
