Date,Open,High,Low,Close,Volume
1/4/2010,136.25,136.61,133.14,133.9,7600543
1/5/2010,133.43,135.48,131.81,134.69,8856456
1/6/2010,134.6,134.73,131.65,132.25,7180977
1/7/2010,132.01,132.32,128.8,130,11030124
1/8/2010,130.56,133.68,129.03,133.52,9833829
1/11/2010,132.62,132.8,129.21,130.31,8786668
1/12/2010,128.99,129.82,126.55,127.35,9098190
1/13/2010,127.9,129.71,125.75,129.11,10727856
1/14/2010,129.14,130.38,126.4,127.35,9788435
1/15/2010,129.18,129.65,127.06,127.14,15382763
1/19/2010,126.2,128,124.33,127.61,8900116
1/20/2010,127.13,129.2,125.08,125.78,9081533
1/21/2010,127.26,128.15,125,126.62,9976146
1/22/2010,125.6,127.67,120.76,121.43,11577818
1/25/2010,122.1,122.28,118.12,120.31,12031053
1/26/2010,120.56,122.98,119.06,119.48,9567607
1/27/2010,121.03,123.33,118.8,122.75,14765273
1/28/2010,124.43,127.2,122.8,126.03,27293062
1/29/2010,129.77,131.85,124.14,125.41,29478976
2/1/2010,123.18,124.86,113.82,118.87,37774317
2/2/2010,118.79,118.98,114.4,118.12,23084986
2/3/2010,117.12,119.61,116.56,119.1,12409012
2/4/2010,118.64,120.33,115.74,115.94,12783912
2/5/2010,115.88,117.65,114.1,117.39,11027086
2/8/2010,119.38,121,116.56,116.83,9898391
2/9/2010,118.2,119.09,117,118.03,9227158
2/10/2010,118,118.61,116,117.36,6236250
2/11/2010,117.21,120.42,116.5,120.09,8344469
2/12/2010,118.99,119.94,117.5,119.66,8075533
2/16/2010,120.06,120.5,117.18,117.53,8938494
2/17/2010,117.08,117.13,115.55,116.31,8947449
2/18/2010,115.84,118.51,114.82,118.08,9807497
2/19/2010,117.91,119.09,117,117.52,7117494
2/22/2010,117.37,118.97,116.18,118.01,6809386
2/23/2010,118.01,119.25,116.51,117.24,7069011
2/24/2010,117.96,119.8,117.15,119.72,7393039
2/25/2010,118.17,118.34,115.85,118.2,9535889
2/26/2010,117.88,119.43,117,118.4,5721864
3/1/2010,118.85,124.66,117.53,124.54,13300501
3/2/2010,125.01,127.35,124.8,125.53,12098298
3/3/2010,125.4,126.94,124.43,125.89,6443021
3/4/2010,125.96,128.85,125.57,128.53,7509644
3/5/2010,129.13,129.45,127.07,128.91,6771126
3/8/2010,128.3,130.85,127.71,130.11,5607327
3/9/2010,129.59,130.81,127.97,128.82,6071029
3/10/2010,129.11,131.17,128.48,130.51,5627431
3/11/2010,130.45,133.62,130.36,133.58,7244668
3/12/2010,134.2,134.2,131.18,131.82,6151927
3/15/2010,131.7,132,128.63,131.13,6329310
3/16/2010,131.24,132.29,130.5,131.79,4136434
3/17/2010,132.41,132.69,131.22,131.34,4358962
3/18/2010,131.02,132.85,130.44,132.76,5024120
3/19/2010,133.71,133.71,129.66,130.35,8906225
3/22/2010,130.2,130.96,128.64,130.47,5383302
3/23/2010,130.89,130.94,128.07,129.26,4213607
3/24/2010,128.64,129.4,127.2,128.04,4703238
3/25/2010,129.14,136.91,128.04,134.73,16212627
3/26/2010,134.9,136.99,133.76,135.06,6575480
3/29/2010,135.37,136.63,134.33,135.12,4627668
3/30/2010,135.74,138.19,135.36,136.58,6202284
3/31/2010,136,136.8,134.48,135.77,4602196
4/5/2010,132.85,133.74,130.78,131.49,5817409
4/6/2010,131.23,136,131.18,135.56,7950439
